game_name: greedymouse_v0, step_count: 340, winner: PLAYER_LOSES, api: deepseek, reward: -5.0
game_name: chopper_v0, step_count: 591, winner: PLAYER_LOSES, api: deepseek, reward: -1.0
game_name: fireman_v0, step_count: 1500, winner: PLAYER_LOSES, api: deepseek, reward: -25.0
game_name: tercio_v0, step_count: 1000, winner: PLAYER_LOSES, api: deepseek, reward: 0.0
game_name: digdug_v0, step_count: 527, winner: PLAYER_LOSES, api: deepseek, reward: -1.0
game_name: avoidgeorge_v0, step_count: 62, winner: PLAYER_LOSES, api: deepseek, reward: -1.0
game_name: vortex_v0, step_count: 1000, winner: PLAYER_LOSES, api: deepseek, reward: 0.0
game_name: zelda_v0, step_count: 172, winner: PLAYER_LOSES, api: deepseek, reward: 0.0
game_name: plaqueattack_v0, step_count: 534, winner: PLAYER_WINS, api: deepseek, reward: -13.0
game_name: clusters_v0, step_count: 1500, winner: PLAYER_LOSES, api: deepseek, reward: 1.0
game_name: superman_v0, step_count: 238, winner: PLAYER_LOSES, api: deepseek, reward: 0.0
game_name: golddigger_v0, step_count: 2000, winner: NO_WINNER, api: deepseek, reward: 14.0
game_name: colourescape_v0, step_count: 1185, winner: PLAYER_LOSES, api: deepseek, reward: -1.0
game_name: factorymanager_v0, step_count: 1000, winner: PLAYER_WINS, api: deepseek, reward: -41.0
game_name: enemycitadel_v0, step_count: 2000, winner: NO_WINNER, api: deepseek, reward: 0.0
game_name: racebet_v0, step_count: 78, winner: PLAYER_WINS, api: deepseek, reward: 0.0
game_name: firecaster_v0, step_count: 2000, winner: NO_WINNER, api: deepseek, reward: 5.0
game_name: roguelike_v0, step_count: 95, winner: PLAYER_LOSES, api: deepseek, reward: 0.0
game_name: cops_v0, step_count: 1900, winner: PLAYER_LOSES, api: deepseek, reward: 0.0
game_name: wildgunman_v0, step_count: 41, winner: PLAYER_LOSES, api: deepseek, reward: -1.0
game_name: sheriff_v0, step_count: 259, winner: PLAYER_LOSES, api: deepseek, reward: 1.0
game_name: roadfighter_v0, step_count: 21, winner: PLAYER_LOSES, api: deepseek, reward: 0.0
game_name: angelsdemons_v0, step_count: 52, winner: PLAYER_LOSES, api: deepseek, reward: -1.0
game_name: doorkoban_v0, step_count: 1000, winner: PLAYER_LOSES, api: deepseek, reward: 0.0
game_name: realportals_v0, step_count: 11, winner: PLAYER_LOSES, api: deepseek, reward: 0.0
game_name: chase_v0, step_count: 79, winner: PLAYER_LOSES, api: deepseek, reward: 0.0
game_name: pacman_v0, step_count: 72, winner: PLAYER_LOSES, api: deepseek, reward: 9.0
game_name: shipwreck_v0, step_count: 1000, winner: PLAYER_WINS, api: deepseek, reward: 0.0
game_name: lemmings_v0, step_count: 235, winner: PLAYER_LOSES, api: deepseek, reward: -5.0
game_name: iceandfire_v0, step_count: 368, winner: PLAYER_LOSES, api: deepseek, reward: 3.0
game_name: catapults_v0, step_count: 13, winner: PLAYER_LOSES, api: deepseek, reward: 1.0
game_name: cakybaky_v0, step_count: 47, winner: PLAYER_LOSES, api: deepseek, reward: 1.0
game_name: waferthinmintsexit_v0, step_count: 15, winner: PLAYER_WINS, api: deepseek, reward: 4.0
game_name: racebet2_v0, step_count: 104, winner: PLAYER_WINS, api: deepseek, reward: 0.0
game_name: boulderchase_v0, step_count: 78, winner: PLAYER_LOSES, api: deepseek, reward: 4.0
game_name: escape_v0, step_count: 74, winner: PLAYER_WINS, api: deepseek, reward: 1.0
game_name: beltmanager_v0, step_count: 57, winner: PLAYER_LOSES, api: deepseek, reward: -1.0
game_name: labyrinthdual_v0, step_count: 1000, winner: PLAYER_LOSES, api: deepseek, reward: 0.0
game_name: deflection_v0, step_count: 35, winner: PLAYER_LOSES, api: deepseek, reward: -12.0
game_name: theshepherd_v0, step_count: 2000, winner: NO_WINNER, api: deepseek, reward: 5.0
game_name: islands_v0, step_count: 34, winner: PLAYER_LOSES, api: deepseek, reward: 0.0
