game_name: greedymouse_v0, step_count: 184, winner: PLAYER_LOSES, api: openai, reward: -5.0
game_name: chopper_v0, step_count: 83, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: fireman_v0, step_count: 316, winner: PLAYER_LOSES, api: openai, reward: -9.0
game_name: tercio_v0, step_count: 1000, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: digdug_v0, step_count: 2000, winner: NO_WINNER, api: openai, reward: 0.0
game_name: avoidgeorge_v0, step_count: 161, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: vortex_v0, step_count: 1000, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: zelda_v0, step_count: 676, winner: PLAYER_LOSES, api: openai, reward: -1.0
game_name: plaqueattack_v0, step_count: 248, winner: PLAYER_LOSES, api: openai, reward: -15.0
game_name: clusters_v0, step_count: 1500, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: superman_v0, step_count: 283, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: golddigger_v0, step_count: 684, winner: PLAYER_LOSES, api: openai, reward: -5.0
game_name: colourescape_v0, step_count: 1500, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: factorymanager_v0, step_count: 1000, winner: PLAYER_WINS, api: openai, reward: -44.0
game_name: enemycitadel_v0, step_count: 2000, winner: NO_WINNER, api: openai, reward: 0.0
game_name: racebet_v0, step_count: 78, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: firecaster_v0, step_count: 2000, winner: NO_WINNER, api: openai, reward: 5.0
game_name: roguelike_v0, step_count: 2000, winner: NO_WINNER, api: openai, reward: 0.0
game_name: cops_v0, step_count: 1900, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: wildgunman_v0, step_count: 252, winner: PLAYER_LOSES, api: openai, reward: 3.0
game_name: sheriff_v0, step_count: 47, winner: PLAYER_LOSES, api: openai, reward: -1.0
game_name: roadfighter_v0, step_count: 25, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: angelsdemons_v0, step_count: 472, winner: PLAYER_LOSES, api: openai, reward: 22.0
game_name: doorkoban_v0, step_count: 1000, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: realportals_v0, step_count: 4, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: chase_v0, step_count: 2000, winner: NO_WINNER, api: openai, reward: 0.0
game_name: pacman_v0, step_count: 116, winner: PLAYER_LOSES, api: openai, reward: 10.0
game_name: shipwreck_v0, step_count: 1000, winner: PLAYER_WINS, api: openai, reward: 0.0
game_name: lemmings_v0, step_count: 2000, winner: NO_WINNER, api: openai, reward: -11.0
game_name: iceandfire_v0, step_count: 500, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: catapults_v0, step_count: 15, winner: PLAYER_LOSES, api: openai, reward: 1.0
game_name: cakybaky_v0, step_count: 750, winner: PLAYER_LOSES, api: openai, reward: 2.0
game_name: waferthinmintsexit_v0, step_count: 14, winner: PLAYER_WINS, api: openai, reward: 4.0
game_name: racebet2_v0, step_count: 104, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: boulderchase_v0, step_count: 149, winner: PLAYER_LOSES, api: openai, reward: 5.0
game_name: escape_v0, step_count: 6, winner: PLAYER_LOSES, api: openai, reward: -1.0
game_name: beltmanager_v0, step_count: 230, winner: PLAYER_LOSES, api: openai, reward: -1.0
game_name: labyrinthdual_v0, step_count: 1000, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: deflection_v0, step_count: 24, winner: PLAYER_LOSES, api: openai, reward: -14.0
game_name: theshepherd_v0, step_count: 2000, winner: NO_WINNER, api: openai, reward: 0.0
game_name: islands_v0, step_count: 12, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: zenpuzzle_v0, step_count: 2000, winner: NO_WINNER, api: openai, reward: 4.0
game_name: bravekeeper_v0, step_count: 1128, winner: PLAYER_LOSES, api: openai, reward: 50.0
game_name: portals_v0, step_count: 2000, winner: NO_WINNER, api: openai, reward: 0.0
game_name: dungeon_v0, step_count: 2000, winner: NO_WINNER, api: openai, reward: 0.0
game_name: camelRace_v0, step_count: 74, winner: PLAYER_LOSES, api: openai, reward: -1.0
game_name: deceptizelda_v0, step_count: 643, winner: PLAYER_WINS, api: openai, reward: 2.0
game_name: witnessprotection_v0, step_count: 95, winner: PLAYER_LOSES, api: openai, reward: 0.0
game_name: decepticoins_v0, step_count: 43, winner: PLAYER_WINS, api: openai, reward: 2.0
game_name: seaquest_v0, step_count: 442, winner: PLAYER_LOSES, api: openai, reward: 1.0
game_name: missilecommand_v0, step_count: 190, winner: PLAYER_LOSES, api: openai, reward: -1.0
