game_name: greedymouse_v0, step_count: 614, winner: PLAYER_LOSES, api: qwen, reward: -5.0
game_name: chopper_v0, step_count: 769, winner: PLAYER_LOSES, api: qwen, reward: -14.0
game_name: fireman_v0, step_count: 186, winner: PLAYER_LOSES, api: qwen, reward: -4.0
game_name: tercio_v0, step_count: 1000, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: digdug_v0, step_count: 610, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: avoidgeorge_v0, step_count: 91, winner: PLAYER_LOSES, api: qwen, reward: -1.0
game_name: vortex_v0, step_count: 1000, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: zelda_v0, step_count: 260, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: plaqueattack_v0, step_count: 320, winner: PLAYER_LOSES, api: qwen, reward: 5.0
game_name: clusters_v0, step_count: 366, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: superman_v0, step_count: 386, winner: PLAYER_LOSES, api: qwen, reward: 1.0
game_name: golddigger_v0, step_count: 36, winner: PLAYER_LOSES, api: qwen, reward: -5.0
game_name: colourescape_v0, step_count: 1500, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: factorymanager_v0, step_count: 1000, winner: PLAYER_WINS, api: qwen, reward: -45.0
game_name: enemycitadel_v0, step_count: 2000, winner: NO_WINNER, api: qwen, reward: 0.0
game_name: racebet_v0, step_count: 78, winner: PLAYER_WINS, api: qwen, reward: 0.0
game_name: firecaster_v0, step_count: 2000, winner: NO_WINNER, api: qwen, reward: 3.0
game_name: roguelike_v0, step_count: 2000, winner: NO_WINNER, api: qwen, reward: 1.0
game_name: cops_v0, step_count: 1900, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: wildgunman_v0, step_count: 260, winner: PLAYER_LOSES, api: qwen, reward: 5.0
game_name: sheriff_v0, step_count: 155, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: roadfighter_v0, step_count: 17, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: angelsdemons_v0, step_count: 623, winner: PLAYER_LOSES, api: qwen, reward: 20.0
game_name: doorkoban_v0, step_count: 1000, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: realportals_v0, step_count: 20, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: chase_v0, step_count: 263, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: pacman_v0, step_count: 88, winner: PLAYER_LOSES, api: qwen, reward: 2.0
game_name: shipwreck_v0, step_count: 1000, winner: PLAYER_WINS, api: qwen, reward: 0.0
game_name: lemmings_v0, step_count: 15, winner: PLAYER_LOSES, api: qwen, reward: -5.0
game_name: iceandfire_v0, step_count: 215, winner: PLAYER_LOSES, api: qwen, reward: 2.0
game_name: catapults_v0, step_count: 22, winner: PLAYER_LOSES, api: qwen, reward: 2.0
game_name: cakybaky_v0, step_count: 21, winner: PLAYER_LOSES, api: qwen, reward: 1.0
game_name: waferthinmintsexit_v0, step_count: 41, winner: PLAYER_LOSES, api: qwen, reward: 10.0
game_name: racebet2_v0, step_count: 104, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: boulderchase_v0, step_count: 2000, winner: NO_WINNER, api: qwen, reward: 8.0
game_name: escape_v0, step_count: 72, winner: PLAYER_WINS, api: qwen, reward: 1.0
game_name: beltmanager_v0, step_count: 103, winner: PLAYER_LOSES, api: qwen, reward: -1.0
game_name: labyrinthdual_v0, step_count: 1000, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: deflection_v0, step_count: 156, winner: PLAYER_LOSES, api: qwen, reward: -4.0
game_name: theshepherd_v0, step_count: 2000, winner: NO_WINNER, api: qwen, reward: 0.0
game_name: islands_v0, step_count: 38, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: zenpuzzle_v0, step_count: 2000, winner: NO_WINNER, api: qwen, reward: 32.0
game_name: bravekeeper_v0, step_count: 268, winner: PLAYER_LOSES, api: qwen, reward: 10.0
game_name: portals_v0, step_count: 31, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: dungeon_v0, step_count: 994, winner: PLAYER_LOSES, api: qwen, reward: 1.0
game_name: camelRace_v0, step_count: 66, winner: PLAYER_WINS, api: qwen, reward: 1.0
game_name: deceptizelda_v0, step_count: 20, winner: PLAYER_WINS, api: qwen, reward: 2.0
game_name: witnessprotection_v0, step_count: 17, winner: PLAYER_LOSES, api: qwen, reward: 0.0
game_name: decepticoins_v0, step_count: 800, winner: PLAYER_WINS, api: qwen, reward: 5.0
game_name: seaquest_v0, step_count: 1000, winner: PLAYER_WINS, api: qwen, reward: 1010.0
game_name: missilecommand_v0, step_count: 100, winner: PLAYER_LOSES, api: qwen, reward: -3.0
