game_name: x-racer_v0, step_count: 146, winner: PLAYER_LOSES, api: openai, total reward: 0.0
game_name: trappedhero_v0, step_count: 1200, winner: PLAYER_LOSES, api: openai, total reward: 0.0
game_name: labyrinth_v0, step_count: 1000, winner: PLAYER_LOSES, api: openai, total reward: 0.0
game_name: testgame3_v0, step_count: 1000, winner: PLAYER_LOSES, api: openai, total reward: 0.0
game_name: aliens_v0, step_count: 777, winner: PLAYER_LOSES, api: openai, total reward: 44.0
game_name: killBillVol1_v0, step_count: 2000, winner: NO_WINNER, api: openai, total reward: 0.0
game_name: ikaruga_v0, step_count: 121, winner: PLAYER_LOSES, api: openai, total reward: 2.0
game_name: themole_v0, step_count: 74, winner: PLAYER_LOSES, api: openai, total reward: -1.0
game_name: infection_v0, step_count: 2000, winner: NO_WINNER, api: openai, total reward: 6.0
game_name: mirrors_v0, step_count: 1500, winner: PLAYER_LOSES, api: openai, total reward: 0.0
game_name: treasurekeeper_v0, step_count: 348, winner: PLAYER_LOSES, api: openai, total reward: 20.0
game_name: run_v0, step_count: 151, winner: PLAYER_LOSES, api: openai, total reward: 0.0
game_name: modality_v0, step_count: 2000, winner: NO_WINNER, api: openai, total reward: 0.0
game_name: testgame1_v0, step_count: 212, winner: PLAYER_LOSES, api: openai, total reward: -1.0
game_name: butterflies_v0, step_count: 303, winner: PLAYER_LOSES, api: openai, total reward: 4.0
game_name: invest_v0, step_count: 1500, winner: PLAYER_WINS, api: openai, total reward: 0.0
game_name: waitforbreakfast_v0, step_count: 1, winner: PLAYER_LOSES, api: openai, total reward: 0.0
game_name: chainreaction_v0, step_count: 1500, winner: PLAYER_LOSES, api: openai, total reward: 0.0
game_name: solarfox_v0, step_count: 93, winner: PLAYER_LOSES, api: openai, total reward: -5.0
game_name: investdie_v0, step_count: 1500, winner: PLAYER_WINS, api: openai, total reward: 0.0
game_name: survivezombies_v0, step_count: 311, winner: PLAYER_LOSES, api: openai, total reward: 0.0
game_name: brainman_v0, step_count: 2000, winner: NO_WINNER, api: openai, total reward: 3.0
game_name: waferthinmints_v0, step_count: 1500, winner: PLAYER_WINS, api: openai, total reward: 2.0
game_name: cec3_v0, step_count: 1000, winner: PLAYER_LOSES, api: openai, total reward: 1.0
game_name: waves_v0, step_count: 101, winner: PLAYER_LOSES, api: openai, total reward: 0.0
game_name: surround_v0, step_count: 2, winner: PLAYER_WINS, api: openai, total reward: 0.0
game_name: bomber_v0, step_count: 1000, winner: PLAYER_LOSES, api: openai, total reward: 0.0
game_name: witnessprotected_v0, step_count: 509, winner: PLAYER_LOSES, api: openai, total reward: 0.0
game_name: boulderdash_v0, step_count: 2000, winner: NO_WINNER, api: openai, total reward: 0.0
game_name: freeway_v0, step_count: 1900, winner: PLAYER_WINS, api: openai, total reward: 0.0
game_name: overload_v0, step_count: 2000, winner: NO_WINNER, api: openai, total reward: 1.0
game_name: painter_v0, step_count: 2000, winner: NO_WINNER, api: openai, total reward: 3.0
game_name: firestorms_v0, step_count: 2000, winner: NO_WINNER, api: openai, total reward: 0.0
game_name: thecitadel_v0, step_count: 2000, winner: NO_WINNER, api: openai, total reward: 0.0
game_name: whackamole_v0, step_count: 377, winner: PLAYER_LOSES, api: openai, total reward: 12.0
