game_name: zenpuzzle_v0, step_count: 2000, winner: NO_WINNER, api: deepseek, total reward: 12.0
game_name: zenpuzzle_v0, step_count: 2000, winner: NO_WINNER, api: deepseek, total reward: 12.0
game_name: bravekeeper_v0, step_count: 1200, winner: PLAYER_WINS, api: deepseek, total reward: 40.0
game_name: bravekeeper_v0, step_count: 1200, winner: PLAYER_WINS, api: deepseek, total reward: 40.0
game_name: portals_v0, step_count: 268, winner: PLAYER_LOSES, api: deepseek, total reward: 0.0
game_name: portals_v0, step_count: 268, winner: PLAYER_LOSES, api: deepseek, total reward: 0.0
game_name: dungeon_v0, step_count: 21, winner: PLAYER_LOSES, api: deepseek, total reward: 0.0
game_name: dungeon_v0, step_count: 21, winner: PLAYER_LOSES, api: deepseek, total reward: 0.0
game_name: camelRace_v0, step_count: 65, winner: PLAYER_WINS, api: deepseek, total reward: 1.0
game_name: camelRace_v0, step_count: 65, winner: PLAYER_WINS, api: deepseek, total reward: 1.0
game_name: deceptizelda_v0, step_count: 73, winner: PLAYER_WINS, api: deepseek, total reward: 2.0
game_name: deceptizelda_v0, step_count: 73, winner: PLAYER_WINS, api: deepseek, total reward: 2.0
game_name: witnessprotection_v0, step_count: 95, winner: PLAYER_LOSES, api: deepseek, total reward: 0.0
game_name: witnessprotection_v0, step_count: 95, winner: PLAYER_LOSES, api: deepseek, total reward: 0.0
game_name: decepticoins_v0, step_count: 315, winner: PLAYER_WINS, api: deepseek, total reward: 5.0
game_name: decepticoins_v0, step_count: 315, winner: PLAYER_WINS, api: deepseek, total reward: 5.0
game_name: seaquest_v0, step_count: 62, winner: PLAYER_LOSES, api: deepseek, total reward: 0.0
game_name: seaquest_v0, step_count: 62, winner: PLAYER_LOSES, api: deepseek, total reward: 0.0
game_name: missilecommand_v0, step_count: 120, winner: PLAYER_LOSES, api: deepseek, total reward: -1.0
game_name: missilecommand_v0, step_count: 120, winner: PLAYER_LOSES, api: deepseek, total reward: -1.0
